#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Pokedex Entry
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom."
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokemon."
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars."
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,It is said that Charizard's fire burns hotter if it has experienced harsh battles.
7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.
11,Metapod,Bug,,205,50,20,55,25,25,30,1,False,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,"While awaiting evolution, it hides from predators under leaves and in nooks of branches."
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,"Its best attack involves flying around at high speed, striking with poison needles, then flying off."
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,"It flies over its wide territory in search of prey, downing it with its highly developed claws."
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,"Cautious in the extreme, its hardy vitality lets it live in any kind of environment."
20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.
23,Ekans,Poison,,288,35,60,44,40,54,55,1,False,It sneaks through grass without making a sound and strikes unsuspecting prey from behind.
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False,The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.
26,Raichu,Electric,,485,60,90,55,90,80,110,1,False,"Its tail discharges electricity into the ground, protecting it from getting shocked."
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,"To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall."
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,"It curls up, then rolls into foes with its back. Its sharp spines inflict severe damage."
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,"While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal."
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than Nidorino's."
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,Its entire body is armored with hard scales. It will protect the young in its burrow with its life.
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,"It has a violent disposition and stabs foes with its horn, which oozes poison upon impact."
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,It is very wary and rarely shows itself to people. Its ears can hear a pin drop over half a mile away.
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,"It controls balls of fire. As it grows, its six tails split from their tips to make more tails."
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,Its nine tails are said to be imbued with a mystic power. It can live for a thousand years.
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,"When it wavers its big, round eyes, it begins singing a lullaby that makes everyone drowsy."
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,Its fine fur feels sublime to the touch. It can expand its body by inhaling air.
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,It checks its surroundings and location using reflections of the ultrasonic waves from its mouth.
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,Its sharp fangs puncture the toughest of hides and have small holes for greedily sucking blood.
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
